Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(557412k free)

/proc/meminfo:

CommandLine flags: -XX:+CMSIncrementalMode -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
1.122: [GC (Allocation Failure)  69952K->14090K(253440K), 0.0107721 secs]
3.412: [GC (CMS Initial Mark)  76607K(253440K), 0.0057549 secs]
12.426: [GC (Allocation Failure)  83877K->23084K(253440K), 0.0266554 secs]
24.204: [GC (Allocation Failure)  92938K->21284K(253440K), 0.0086359 secs]
27.722: [GC (CMS Final Remark)  53291K(253440K), 0.0099705 secs]
32.643: [GC (Allocation Failure)  86917K->16217K(253440K), 0.0015903 secs]
41.228: [GC (CMS Initial Mark)  57576K(253440K), 0.0042988 secs]
47.753: [GC (Allocation Failure)  86161K->16867K(253440K), 0.0017608 secs]
62.224: [GC (Allocation Failure)  86819K->17237K(253440K), 0.0019247 secs]
70.015: [GC (CMS Final Remark)  50500K(253440K), 0.0119382 secs]
75.576: [GC (Allocation Failure)  81956K->12490K(253440K), 0.0028201 secs]
88.874: [GC (Allocation Failure)  82442K->13461K(253440K), 0.0033113 secs]
101.323: [GC (Allocation Failure)  83413K->13144K(253440K), 0.0022364 secs]
118.374: [GC (Allocation Failure)  83096K->12664K(253440K), 0.0035793 secs]
129.212: [GC (Allocation Failure)  82616K->13365K(253440K), 0.0022914 secs]
141.804: [GC (Allocation Failure)  83317K->12725K(253440K), 0.0035355 secs]
153.903: [GC (Allocation Failure)  82677K->13584K(253440K), 0.0020933 secs]
