Tiling,Data Loading,Segmentation,Reconstruction,Import,WMTS,total ,
0.069024563,2.989213228,36.27968383,0.111866713,0.131,22.209,61.78978833,
0.07810998,2.999745131,37.92663026,0.110827684,0.123,22.474,63.71231306,
0.076759815,3.012441158,39.35834169,0.117491245,0.154,22.138,64.85703391,
0.078144789,3.019661188,35.93179464,0.113744974,0.134,21.691,60.96834559,
0.082163572,2.976984024,37.69422388,0.1240592,0.122,22.001,63.00043068,
0.084666729,3.016427994,37.19744301,0.139537334,0.123,21.981,62.54207507,
0.0683074,2.981860638,39.0349865,0.114006996,0.137,21.759,64.09516153,
0.07814312,3.02230835,38.55341959,0.119772673,0.124,21.981,63.87864373,
0.090670824,3.759112835,41.79041386,0.119680882,0.124,22.159,68.0428784,
0.062459946,3.194068193,38.79277968,0.132292271,0.125,22.027,64.33360009,
0.084612608,3.444854021,43.74901843,0.124215841,0.134,21.944,69.4807009,
0.071403265,2.975493431,35.93130493,0.112129688,0.131,21.499,60.72033131,
0.087764978,3.638224125,39.42792463,0.110818386,0.143,22.134,65.54173212,
0.088766813,3.365417957,38.45148635,0.113771915,0.135,21.83,63.98444304,
0.06902194,2.950567007,44.46823621,0.119817972,0.141,21.871,69.61964313,
0.069019318,3.022344828,37.39495611,0.112271309,0.122,21.566,62.28659157,
0.069057703,3.546525955,39.1534524,0.113996506,0.129,21.557,64.56903256,
0.078110933,3.362506866,38.98124647,0.10488677,0.128,21.889,64.54375104,
0.089651346,3.197107315,39.57699108,0.119862556,0.146,22.619,65.7486123,
0.068996906,2.938529491,36.37236404,0.111908913,0.119,21.515,61.12579935,
0.068990707,3.222784519,38.04251099,0.124430895,0.125,22.086,63.66971711,
0.084645987,2.890674114,38.40745044,0.111932516,0.129,21.322,62.94570306,
0.072436333,3.095769167,39.02089882,0.116676331,0.143,21.675,64.12378065,
0.069039106,2.745829821,39.10542178,0.112025738,0.129,21.607,63.76831645,
0.069065332,2.892098904,40.43129897,0.11163044,0.14,21.357,65.00109365,
0.068999529,2.972065687,35.78400469,0.119809389,0.148,22.075,61.1678793,
0.062523127,3.002139091,36.85727024,0.121153593,0.128,22.336,62.50708605,
0.06899929,2.916786432,37.94461298,0.143479347,0.137,22.545,63.75587805,
0.084691286,2.966991663,36.66356301,0.111800909,0.126,21.714,61.66704687,
0.06794858,3.836328268,39.43849993,0.112933636,0.139,21.904,65.49871041,
0.075406527,3.131828713,38.59207431,0.117761087,0.1323,21.9155,63.96487064,Avgs
0.008425087,0.273237997,2.062028341,0.008554872,0.008886836,0.333921088,2.231255509,std devs
